ticker,Date,Open,High,Low,Close,Volume
ASML,21-08-2025,739.3599854,741.5,732.1099854,735.4000244,952700
ASML,22-08-2025,741.6799927,761.5700073,740.3699951,754.8900146,1456000
ASML,25-08-2025,754.75,758.2600098,752.0900269,754.460022,731100
ASML,26-08-2025,758.7700195,763.5,755.9099731,763.2000122,860100
ASML,27-08-2025,760,770.5800171,757.789978,770,1140700
ASML,28-08-2025,770,773.1699829,760.8699951,763.460022,985400
ASML,29-08-2025,753,753.5999756,739.789978,742.6199951,1317800
ASML,02-09-2025,717.210022,727.2000122,716.2000122,725.8499756,1867400
ASML,03-09-2025,732.2199707,738.2999878,729.5599976,736.8200073,1330300
ASML,04-09-2025,737.0499878,756.9000244,735.4299927,753.4299927,1532700
ASML,05-09-2025,774.8800049,783.0999756,766.2399902,781.7000122,1887300
ASML,08-09-2025,789.6500244,798.7000122,786.75,796.25,1284500
ASML,09-09-2025,795.2000122,805.8400269,793.1199951,805.1300049,1324100
ASML,10-09-2025,806.8200073,809.5999756,791.0200195,793.1400146,1634300
ASML,11-09-2025,799.6900024,809.1500244,798.5100098,804.1599731,1297800
ASML,12-09-2025,808.5200195,815.7800293,806.2999878,813.8699951,1019700
ASML,15-09-2025,834.9299927,868.7199707,833.9199829,867.2999878,2702300
ASML,16-09-2025,879.9400024,881.460022,867.5700073,878.4199829,1832400
ASML,17-09-2025,868.2299805,877.6300049,861.1799927,872.2700195,1553300
ASML,18-09-2025,928.6699829,938.6799927,916.0300293,927.7999878,3176100
ASML,19-09-2025,926.0700073,938.6500244,925.8699951,932.1500244,2410200
ASML,22-09-2025,960.9199829,964.539978,953.5900269,957.7999878,1885000
ASML,23-09-2025,964.4099731,977.4799805,956,963.5100098,1664800
ASML,24-09-2025,949.7199707,953.5999756,940.9500122,946.9400024,1400700
ASML,25-09-2025,938.2000122,952.6599731,937.1199951,949.5499878,1272600
ASML,26-09-2025,946.2399902,955.2199707,942.75,951.5200195,955200
ASML,29-09-2025,963.7299805,972.0700073,962.3699951,962.6099854,1213800
ASML,30-09-2025,968.039978,975.6400146,963.0700073,968.0900269,1303600
ASML,01-10-2025,965.6099854,1005.359985,964.8200073,1003.27002,1963800
ASML,02-10-2025,1039,1040.22998,1021.890015,1030.170044,1686800
STNE,21-08-2025,14.72000027,14.86999989,14.43999958,14.82999992,4551800
STNE,22-08-2025,14.89999962,15.38000011,14.89999962,15.35000038,4191400
STNE,25-08-2025,15.35000038,15.55000019,15.23999977,15.42000008,4606900
STNE,26-08-2025,15.39000034,15.69999981,15.35999966,15.67000008,3375000
STNE,27-08-2025,15.56000042,15.93999958,15.43000031,15.92000008,2707400
STNE,28-08-2025,16,16.77000046,15.97000027,16.60000038,6581600
STNE,29-08-2025,16.77000046,16.81999969,16.38999939,16.46999931,3497300
STNE,02-09-2025,16.11000061,16.48999977,16.02000046,16.28000069,3914500
STNE,03-09-2025,16.19000053,16.52000046,16.15999985,16.37999916,2694900
STNE,04-09-2025,16.31999969,16.61000061,15.96000004,16.51000023,3170900
STNE,05-09-2025,16.77000046,17.44000053,16.77000046,17.29999924,5292500
STNE,08-09-2025,17.46999931,17.48999977,16.85000038,17.26000023,4978500
